id,opensora2/background_consistency,opensora2/scene,Sora_cla/background_consistency,Sora_cla/scene,wan2.1_cla/background_consistency,wan2.1_cla/scene,wan2.2_cla/background_consistency,wan2.2_cla/scene,vidu_cla/background_consistency,vidu_cla/scene,Kling-1.6_cla/background_consistency,Kling-1.6_cla/scene,hunyuanvideo_cla/background_consistency,hunyuanvideo_cla/scene,veo_3_cla/background_consistency,veo_3_cla/scene,difficulty
supermarket,0.9743610382080078,0.0,0.9238985816904364,0.28125,0.968701171875,0.96875,0.932476806640625,0.25,0.9434451219512194,0.296875,0.9424814860026044,0.0625,0.9382801055908204,0.0,0.9482861583769632,0.8125,0
alley,0.9722488403320312,1.0,0.9412853266568793,1.0,0.9805770874023438,1.0,0.98338623046875,0.953125,0.9433820026676828,0.725,0.9617515563964844,0.859375,0.958590316772461,1.0,0.9444453534031414,0.95,0
sky,0.9275829315185546,0.8625,0.9871483719588928,0.9125,0.9828376770019532,0.75,0.9869940185546876,0.8125,0.956711286839431,0.9125,0.9576433817545572,0.859375,0.9625099182128908,0.0,0.9722464516524868,0.875,0
cliff,0.9791263580322266,0.9875,0.966837838192114,0.875,0.9917396545410156,0.90625,0.9787957763671876,0.703125,0.9206769245426828,0.9166666666666666,0.9737823486328124,1.0,0.9545906066894532,0.875,0.964964158622382,1.0,0
