id,opensora2/multiple_objects,Sora_cla/multiple_objects,wan2.1_cla/multiple_objects,wan2.2_cla/multiple_objects,vidu_cla/multiple_objects,Kling-1.6_cla/multiple_objects,hunyuanvideo_cla/multiple_objects,veo_3_cla/multiple_objects,difficulty
a snowboard and a sports ball,0.8375,0.9875,0.578125,1.0,0.46875,0.6666666666666666,0.4125,0.8333333333333334,0
a bird and a cat,1.0,0.6375,0.6875,0.9625,0.5625,0.6041666666666666,0.6,0.8125,0
a handbag and a tie,0.796875,0.546875,0.421875,0.4375,0.2291666666666666,0.484375,0.5625,0.5833333333333334,0
a sports ball and a kite,0.6625,0.953125,0.625,1.0,0.15625,0.1458333333333333,0.9875,0.6875,0
