id,opensora2/background_consistency,opensora2/scene,Sora_cla/background_consistency,Sora_cla/scene,wan2.1_cla/background_consistency,wan2.1_cla/scene,wan2.2_cla/background_consistency,wan2.2_cla/scene,vidu_cla/background_consistency,vidu_cla/scene,Kling-1.6_cla/background_consistency,Kling-1.6_cla/scene,hunyuanvideo_cla/background_consistency,hunyuanvideo_cla/scene,veo_3_cla/background_consistency,veo_3_cla/scene,difficulty
campus,0.9292024612426758,0.4791666666666667,0.930404192009228,0.6041666666666666,0.961627960205078,0.0,0.92196533203125,0.675,0.9094998491488822,0.375,0.9232800801595052,0.46875,0.9677490234375,0.84375,0.9233470017997382,0.4625,0
pharmacy,0.9877605438232422,1.0,0.9347754561661074,0.925,0.9902725219726562,0.859375,0.9621234130859376,0.9625,0.9209603658536584,0.8375,0.9292439778645832,0.859375,0.9586036682128908,0.9875,0.9465058491492148,1.0,0
carrousel,0.9720836639404296,0.0,0.9622584810192952,0.0,0.9736526489257812,0.0,0.9545068359375,0.0,0.9440151803861788,0.0,0.950586446126302,0.0,0.9559345245361328,0.0,0.9635939033867802,0.0,0
kitchen,0.9126960754394532,0.9625,0.97663361210151,1.0,0.9830070495605469,1.0,0.9808013916015624,1.0,0.9407663236788618,0.9625,0.9670204162597656,1.0,0.9462615966796876,0.9625,0.9555308716459424,1.0,0
